id,spkid,full_name,pdes,name,prefix,neo,pha,H,diameter,albedo,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,rms
a0003200,2003200,  3200 Phaethon (1983 TB),3200,Phaethon,,Y,Y,14.3,6.25,0.1066,0.15,712,2459000.5,59000,20200531,J2000,0.889831121,1.271367884,0.140065175,22.25951171,265.2176959,322.1867098,228.9572432,2.402670593,0.687538811,2459191.097,20201207.6,523.6068044,1.433557302,0.0194361,7.563947037,1.34E-09,7.18E-10,1.67E-09,2.57E-07,8.94E-07,8.87E-07,2.88E-07,1.36E-09,5.83E-10,5.71E-07,4.44E-07,APO,0.30124
a0003361,2003361,  3361 Orpheus (1982 HR),3361,Orpheus,,Y,Y,19.03,0.3,0.357,,JPL 132,2455844.5,55844,20111010,J2000,0.322751829,1.209662179,0.819241499,2.685064208,189.5305495,301.6952073,102.8299018,1.60008286,0.74081185,2455705.693,20110524.19,485.95335,1.330467762,0.0135908,5.289131636,3.71E-08,1.11E-09,4.51E-08,4.04E-06,4.38E-05,4.41E-05,7.93E-06,1.47E-09,1.02E-09,1.08E-05,6.69E-07,APO,0.47356
a0003362,2003362,  3362 Khufu (1984 QA),3362,Khufu,,Y,Y,18.3,0.7,0.21,,23,2459000.5,59000,20200531,J2000,0.468478623,0.989524068,0.525953195,9.916906008,152.4336909,55.05400164,197.828304,1.45309494,1.001300726,2459162.461,20201108.96,359.5323468,0.984345919,0.0135341,5.267065697,5.74E-07,1.29E-08,5.75E-07,1.21E-05,5.86E-05,4.80E-05,0.00017923,1.89E-08,1.96E-08,0.00018212,7.03E-06,ATE,0.64205
a0003671,2003671,  3671 Dionysus (1984 KD),3671,Dionysus,,Y,Y,16.4,1.5,0.16,,97,2459000.5,59000,20200531,J2000,0.541679882,2.19859133,1.007658638,13.53409481,82.08580897,204.2630078,7.994515526,3.389524022,0.302334221,2458974.057,20200504.56,1190.735203,3.260055313,0.0206816,8.048658272,2.62E-08,1.90E-09,5.75E-08,5.67E-06,1.63E-05,1.64E-05,6.41E-06,2.93E-09,3.92E-10,2.12E-05,1.54E-06,APO,0.51633
a0003757,2003757,  3757 Anagolay (1982 XB),3757,Anagolay,,Y,Y,18.9,0.5,0.18,,46,2459000.5,59000,20200531,J2000,0.446303548,1.834366454,1.015682197,3.867817849,74.96083695,17.2297313,19.07701736,2.65305071,0.396711623,2458952.412,20200412.91,907.4601783,2.484490563,0.036196,14.08639732,5.21E-08,2.34E-09,9.61E-08,6.70E-06,6.99E-05,7.33E-05,1.18E-05,3.39E-09,7.60E-10,2.98E-05,1.74E-06,APO,0.73686
a0004015,2004015,  4015 Wilson-Harrington (1979 VA),4015,Wilson-Harrington,,Y,Y,15.99,4,0.05,0.5,JPL 184,2459000.5,59000,20200531,J2000,0.631187013,2.625914318,0.968471303,2.798294803,266.8177007,95.37013412,171.0177162,4.283357334,0.231623834,2458262.158,20180523.66,1554.244194,4.25528869,0.0430103,16.73831845,3.93E-08,4.95E-09,1.04E-07,5.25E-06,9.83E-05,9.82E-05,3.15E-06,8.08E-09,6.55E-10,1.22E-05,4.40E-06,APO,0.54633
a0004034,2004034,  4034 Vishnu (1986 PA),4034,Vishnu,,Y,Y,18.4,0.42,0.52,,JPL 75,2455202.5,55202,20100106,J2000,0.443942578,1.059509941,0.589148366,11.17043812,158.014075,296.6030781,62.85109433,1.529871516,0.903746274,2455132.955,20091028.45,398.3418911,1.09060066,0.0193934,7.547329478,7.27E-08,4.27E-09,7.64E-08,7.57E-06,4.49E-05,4.17E-05,1.55E-05,6.16E-09,5.46E-09,1.73E-05,2.41E-06,APO,0.41971
a0004179,2004179,  4179 Toutatis (1989 AC),4179,Toutatis,,Y,Y,15.2,5.4,,,510,2459000.5,59000,20200531,J2000,0.624248642,2.545398025,0.956436764,0.447949105,125.1994138,277.9899108,311.2833559,4.134359285,0.242700415,2459201.227,20201217.73,1483.310193,4.061081978,0.00657948,2.560536232,1.46E-09,4.47E-10,3.86E-09,1.90E-07,2.41E-05,2.36E-05,2.25E-07,7.26E-10,6.39E-11,9.78E-07,3.91E-07,APO,0.26584
a0004183,2004183,  4183 Cuno (1959 LM),4183,Cuno,,Y,Y,14.1,3.651,0.097,0.115,JPL 449,2459000.5,59000,20200531,J2000,0.634138764,1.983072162,0.725529233,6.704037024,294.8674921,236.3490057,331.3505301,3.24061509,0.352936274,2459081.675,20200820.17,1020.014167,2.79264659,0.0283304,11.02534177,2.42E-08,2.19E-09,4.75E-08,3.31E-06,2.70E-05,2.71E-05,4.45E-06,3.57E-09,5.84E-10,1.27E-05,1.69E-06,APO,0.46588
a0004450,2004450,  4450 Pan (1987 SY),4450,Pan,,Y,Y,17.1,,,,JPL 198,2459000.5,59000,20200531,J2000,0.586672403,1.442495038,0.596223008,5.520541791,311.806727,291.8364098,1.709166848,2.288767067,0.56889561,2458997.496,20200528,632.8050241,1.732525733,0.028548,11.11002516,2.24E-08,3.54E-09,3.21E-08,4.68E-06,2.10E-05,2.04E-05,9.54E-06,5.62E-09,2.09E-09,1.68E-05,2.33E-06,APO,0.45131
a0004486,2004486,  4486 Mithra (1987 SB),4486,Mithra,,Y,Y,15.5,1.849,0.297,0.022,199,2459000.5,59000,20200531,J2000,0.663023403,2.199297519,0.741111794,3.03969886,82.23629971,168.906481,33.94874901,3.657483244,0.302188614,2458888.157,20200208.66,1191.308947,3.261626138,0.0462892,18.01436796,2.13E-08,4.36E-09,4.75E-08,2.41E-06,7.08E-05,6.98E-05,7.31E-06,7.24E-09,8.98E-10,2.38E-05,3.54E-06,APO,0.53702
a0004581,2004581,  4581 Asclepius (1989 FC),4581,Asclepius,,Y,Y,20.7,,,,JPL 104,2459000.5,59000,20200531,J2000,0.357052272,1.022636912,0.657502079,4.917322645,180.2183606,255.3412722,127.2760463,1.387771745,0.953063587,2458866.956,20200118.46,377.7292564,1.034166342,0.00354485,1.379549275,6.15E-08,4.56E-09,6.00E-08,2.46E-06,2.04E-05,2.06E-05,1.27E-05,6.18E-09,6.37E-09,1.25E-05,2.52E-06,APO,0.45392
a0004660,2004660,  4660 Nereus (1982 DB),4660,Nereus,,Y,Y,18.4,0.33,0.55,,JPL 125,2459000.5,59000,20200531,J2000,0.360335928,1.488743085,0.952295464,1.432103476,314.4055513,158.0702675,41.94650303,2.025190705,0.542593314,2458923.193,20200314.69,663.4803462,1.816510188,0.00332828,1.295266728,2.78E-09,1.44E-09,4.01E-09,2.49E-06,2.96E-05,3.07E-05,5.79E-06,1.96E-09,7.87E-10,1.06E-05,9.62E-07,APO,0.46875
a0004769,2004769,  4769 Castalia (1989 PB),4769,Castalia,,Y,Y,16.9,1.4,,,89,2459000.5,59000,20200531,J2000,0.483232308,1.063147864,0.549400468,8.885519032,325.5413018,121.409827,325.5663099,1.576895261,0.89911153,2459038.797,20200708.3,400.3952656,1.096222493,0.0205439,7.995069563,4.16E-08,3.30E-10,4.41E-08,7.67E-06,1.32E-05,1.35E-05,3.90E-06,4.90E-10,4.19E-10,4.33E-06,1.87E-07,APO,0.46642
a0004953,2004953,  4953 (1990 MU),4953,,,Y,Y,15,,,,125,2459000.5,59000,20200531,J2000,0.657626024,1.621007826,0.554990894,24.39060293,77.70392163,77.75350077,241.2112025,2.687024757,0.47755831,2459249.242,20210203.74,753.8346468,2.063886781,0.0260673,10.14461114,7.91E-08,3.60E-09,1.29E-07,1.01E-05,2.50E-05,2.17E-05,1.04E-05,5.97E-09,1.59E-09,2.25E-05,2.51E-06,APO,0.522
a0005011,2005011,  5011 Ptah (6743 P-L),5011,Ptah,,Y,Y,16.4,,,,146,2459000.5,59000,20200531,J2000,0.500077454,1.636361895,0.818054205,7.405387504,10.72728291,105.8139258,140.140474,2.454669585,0.47085267,2458702.869,20190807.37,764.5703702,2.09327959,0.0248728,9.679747576,5.92E-08,8.69E-09,9.39E-08,4.64E-06,3.20E-05,3.26E-05,2.15E-05,1.30E-08,3.75E-09,4.33E-05,6.09E-06,APO,0.51266
a0005189,2005189,  5189 (1990 UQ),5189,,,Y,Y,17.8,,,,215,2459000.5,59000,20200531,J2000,0.478341421,1.552401313,0.809823463,3.578357326,135.2175551,159.774424,161.9381145,2.294979163,0.509563218,2458682.702,20190718.2,706.4874133,1.934257121,0.0444772,17.30919192,2.20E-08,2.82E-09,3.39E-08,2.38E-06,5.35E-05,5.36E-05,5.45E-06,4.18E-09,1.39E-09,1.04E-05,1.93E-06,APO,0.47236
a0005604,2005604,  5604 (1992 FE),5604,,,Y,Y,17.2,0.55,0.48,,JPL 186,2459000.5,59000,20200531,J2000,0.406006799,0.928586741,0.551574211,4.71535639,311.9099486,82.65278814,307.6091311,1.305599271,1.101464124,2459048.065,20200717.56,326.8376991,0.894832852,0.0336543,13.09724393,1.32E-08,3.90E-09,1.35E-08,2.59E-06,1.64E-05,1.57E-05,9.15E-06,5.48E-09,6.93E-09,8.60E-06,2.06E-06,ATE,0.3816
a0005693,2005693,  5693 (1993 EA),5693,,,Y,Y,16.7,,,,JPL 348,2459000.5,59000,20200531,J2000,0.585148438,1.2709458,0.527253851,5.054676511,97.03424615,258.885125,182.3029088,2.01463775,0.68788134,2459258.825,20210213.33,523.3460763,1.432843467,0.00561681,2.185893948,3.38E-08,1.99E-09,4.31E-08,2.74E-06,3.52E-05,3.48E-05,1.07E-05,3.16E-09,1.62E-09,1.59E-05,1.23E-06,APO,0.48327
a0006037,2006037,  6037 (1988 EG),6037,,,Y,Y,18.7,,,,75,2459000.5,59000,20200531,J2000,0.499613585,1.271315304,0.636148908,3.499647086,182.3794574,242.1877187,229.5256196,1.906481701,0.687581465,2459190.258,20201206.76,523.5743227,1.433468371,0.0240529,9.360667093,4.62E-08,4.36E-09,6.04E-08,3.90E-06,2.94E-05,3.01E-05,1.66E-05,6.53E-09,3.53E-09,2.51E-05,2.69E-06,APO,0.53688
a0006239,2006239,  6239 Minos (1989 QF),6239,Minos,,Y,Y,18.5,,,,JPL 201,2459000.5,59000,20200531,J2000,0.412644161,1.151399147,0.676281012,3.94223381,344.5827136,239.712504,27.69509736,1.626517282,0.797747072,2458965.783,20200426.28,451.2708509,1.235512254,0.026377,10.26513709,2.16E-08,1.34E-09,2.42E-08,2.30E-06,2.72E-05,2.70E-05,1.04E-05,1.89E-09,1.39E-09,1.30E-05,7.87E-07,APO,0.47073
a0006489,2006489,  6489 Golevka (1991 JX),6489,Golevka,,Y,Y,19.2,0.53,0.151,0.03,JPL 105,2452464.5,52464,20020709,J2000,0.605296547,2.502473956,0.98773511,2.27648076,211.0620215,66.65547374,274.4136345,4.017212801,0.248971551,2452808.26,20030617.76,1445.948337,3.958790794,0.0280499,10.91617958,2.48E-09,4.52E-10,6.05E-09,6.44E-07,2.16E-05,2.26E-05,2.10E-07,7.26E-10,6.75E-11,9.36E-07,3.92E-07,APO,0.61351
a0006491,2006491,  6491 (1991 OA),6491,,,Y,Y,18.7,,,,29,2459000.5,59000,20200531,J2000,0.591093912,2.500187074,1.022341717,5.948776069,301.8888098,323.6421545,104.3860074,3.978032432,0.249313224,2458581.806,20190408.31,1443.966724,3.953365433,0.0417607,16.25201162,3.93E-08,2.46E-08,1.02E-07,1.05E-05,8.31E-05,8.42E-05,7.68E-06,3.91E-08,3.68E-09,2.89E-05,2.13E-05,AMO,0.5576
a0007335,2007335,  7335 (1989 JA),7335,,,Y,Y,17,1.8,0.322,,84,2459000.5,59000,20200531,J2000,0.484328103,1.770445232,0.912968851,15.1955538,61.3190778,232.2596415,40.19730634,2.627921612,0.418389069,2458904.424,20200224.92,860.4431305,2.355764902,0.0216163,8.412415471,4.68E-08,3.56E-09,8.23E-08,8.50E-06,1.81E-05,2.20E-05,1.65E-05,5.29E-09,1.26E-09,3.92E-05,2.60E-06,APO,0.5941
a0007341,2007341,  7341 (1991 VK),7341,,,Y,Y,16.7,,,,JPL 306,2456289.5,56289,20121228,J2000,0.506593138,1.842120155,0.908914725,5.419121587,294.8739036,173.3350706,138.0187342,2.775325586,0.394209551,2455939.385,20120112.88,913.2198826,2.500259774,0.0477864,18.59703329,2.41E-09,1.06E-10,4.45E-09,1.75E-06,1.47E-05,1.34E-05,9.38E-07,1.60E-10,3.40E-11,2.38E-06,7.88E-08,APO,0.32712
a0007482,2007482,  7482 (1994 PC1),7482,,,Y,Y,16.5,1.052,0.277,0.303,130,2459000.5,59000,20200531,J2000,0.328304587,1.346161268,0.904210349,33.48902941,117.8849792,47.60888226,318.5260612,1.788112187,0.631042251,2459066.223,20200804.72,570.4847808,1.561902206,0.000336685,0.131027701,3.61E-08,2.27E-09,4.76E-08,1.15E-05,2.27E-06,1.01E-05,1.73E-05,3.02E-09,1.60E-09,2.76E-05,1.44E-06,APO,0.51914
a0007753,2007753,  7753 (1988 XB),7753,,,Y,Y,18.6,,,,JPL 167,2459000.5,59000,20200531,J2000,0.481715637,1.467776101,0.760725401,3.122911172,73.41879819,280.0735523,288.4992711,2.174826801,0.554261044,2459129.502,20201007,649.5134444,1.778270895,0.00664514,2.586089134,1.04E-08,1.05E-09,1.55E-08,3.76E-06,3.56E-05,3.61E-05,4.07E-06,1.55E-09,5.92E-10,7.47E-06,6.94E-07,APO,0.52313
a0007822,2007822,  7822 (1991 CS),7822,,,Y,Y,17.4,1.602,0.075,0.012,JPL 195,2459000.5,59000,20200531,J2000,0.164646301,1.122920698,0.938035959,37.12099026,156.8525778,249.4339913,296.8335642,1.307805438,0.828286233,2459076.762,20200815.26,434.6323595,1.189958548,0.0230972,8.988737324,2.52E-08,7.61E-10,2.78E-08,8.68E-06,2.41E-06,1.29E-05,1.49E-05,8.86E-10,8.42E-10,1.81E-05,4.42E-07,APO,0.41581
a0008014,2008014,  8014 (1990 MF),8014,,,Y,Y,18.7,0.7,,,JPL 71,2459000.5,59000,20200531,J2000,0.456130259,1.746614348,0.949930694,1.866994688,210.2356485,114.4013269,328.5981528,2.543298003,0.426980989,2459074.044,20200812.54,843.1288733,2.30836105,0.0170509,6.635698753,5.50E-08,4.36E-09,9.67E-08,1.55E-06,0.0001491,0.00015026,7.90E-06,6.35E-09,1.60E-09,1.87E-05,3.16E-06,APO,0.50483
a0008566,2008566,  8566 (1996 EN),8566,,,Y,Y,16.3,1.568,0.217,0.261,JPL 154,2459000.5,59000,20200531,J2000,0.430464596,1.506327526,0.857906855,37.9771834,164.1280724,125.1370923,317.1360066,2.154748196,0.533119976,2459080.902,20200819.4,675.2701387,1.848788881,0.0213905,8.324540885,4.98E-08,2.45E-09,7.52E-08,1.12E-05,6.43E-06,1.03E-05,1.06E-05,3.51E-09,1.30E-09,2.01E-05,1.65E-06,APO,0.52395
a0009856,2009856,  9856 (1991 EE),9856,,,Y,Y,17.4,1,0.3,,180,2459000.5,59000,20200531,J2000,0.626022497,2.243190498,0.838902781,9.82700027,168.1161392,116.2017291,204.9069988,3.647478214,0.293362663,2459529.173,20211110.67,1227.150029,3.359753671,0.0224508,8.737177836,1.28E-08,1.65E-09,2.92E-08,4.81E-06,2.07E-05,2.10E-05,2.74E-06,2.68E-09,3.23E-10,9.84E-06,1.35E-06,APO,0.44394
a0010115,2010115, 10115 (1992 SK),10115,,,Y,Y,17,0.938,0.28,0.294,JPL 197,2459000.5,59000,20200531,J2000,0.3247857,1.248431684,0.842958926,15.32038896,8.910713,233.6733343,34.01947579,1.653904442,0.706572777,2458952.353,20200412.85,509.501656,1.39493951,0.0459104,17.86695037,1.94E-08,1.06E-09,2.38E-08,5.28E-06,1.04E-05,1.26E-05,8.94E-06,1.41E-09,9.01E-10,1.26E-05,6.50E-07,APO,0.46765
a0011500,2011500, 11500 Tomaiyowit (1989 UR),11500,Tomaiyowit,,Y,Y,18.3,0.738,0.142,0.006,209,2459000.5,59000,20200531,J2000,0.355779589,1.079768039,0.69560861,10.30870903,234.4277374,289.4574529,358.2464565,1.463927468,0.878432451,2459002.496,20200602,409.8209252,1.122028543,0.0344037,13.38888793,3.64E-08,6.91E-10,3.90E-08,3.29E-06,1.14E-05,1.21E-05,5.86E-06,9.37E-10,8.43E-10,6.67E-06,3.93E-07,APO,0.42669
a0012538,2012538, 12538 (1998 OH),12538,,,Y,Y,15.9,1.663,0.232,0.329,JPL 373,2459000.5,59000,20200531,J2000,0.406069663,1.541695307,0.915659614,24.52621523,220.7392603,321.7214812,213.2339725,2.167731001,0.514880268,2459285.549,20210312.05,699.1916813,1.914282495,0.0288994,11.2467795,2.42E-08,4.20E-09,3.75E-08,5.04E-06,6.99E-06,8.21E-06,4.13E-06,5.91E-09,2.11E-09,7.99E-06,2.86E-06,APO,0.40297
a0012923,2012923, 12923 Zephyr (1999 GK4),12923,Zephyr,,Y,Y,15.7,2.06,0.199,0.013,JPL 242,2459000.5,59000,20200531,J2000,0.492012013,1.961922094,0.996632856,5.304291691,168.1903993,147.0677904,197.8951597,2.927211332,0.358658755,2459452.475,20210825.98,1003.739613,2.748089288,0.0215506,8.386847002,4.24E-08,5.42E-09,8.25E-08,5.06E-06,3.84E-05,3.87E-05,9.87E-06,8.09E-09,1.49E-09,2.91E-05,4.16E-06,APO,0.53498
a0013651,2013651, 13651 (1997 BR),13651,,,Y,Y,17.6,0.562,0.511,0.021,JPL 147,2459000.5,59000,20200531,J2000,0.305659373,1.335527442,0.927310962,17.24854718,116.66378,133.8249893,320.9064103,1.743743922,0.638594024,2459061.718,20200731.22,563.7384421,1.543431738,0.0140583,5.471068611,3.05E-08,8.25E-10,4.05E-08,5.74E-06,1.13E-05,1.43E-05,9.40E-06,1.08E-09,5.92E-10,1.48E-05,5.22E-07,APO,0.52545
a0014827,2014827, 14827 Hypnos (1986 JK),14827,Hypnos,,Y,Y,18.3,0.9,,,51,2459000.5,59000,20200531,J2000,0.666227983,2.841134742,0.948291273,1.98057341,57.96620493,238.1094436,52.71798372,4.733978211,0.205809931,2458744.351,20190917.85,1749.186726,4.789012256,0.0145783,5.673437011,2.60E-08,2.11E-08,7.40E-08,1.24E-05,0.00019745,0.00020207,2.40E-05,3.51E-08,2.29E-09,0.00011409,1.95E-05,APO,0.63539
a0016960,2016960, 16960 (1998 QS52),16960,,,Y,Y,14.3,,,,212,2459000.5,59000,20200531,J2000,0.858273719,2.202198267,0.312109371,17.53991937,260.4250008,242.9563716,185.5819995,4.092287163,0.301591744,2459578.825,20211230.32,1193.666627,3.268081113,0.0152245,5.924918665,2.76E-08,1.01E-08,6.08E-08,5.78E-06,2.77E-05,2.62E-05,9.39E-06,1.87E-08,2.07E-09,3.49E-05,8.19E-06,APO,0.48206
a0020425,2020425, 20425 (1998 VD35),20425,,,Y,Y,20.4,,,,30,2459000.5,59000,20200531,J2000,0.476435851,1.56462149,0.819179718,6.984029915,227.3651648,296.1506634,307.0577836,2.310063261,0.503605121,2459105.626,20200913.13,714.8457889,1.957141106,0.00325523,1.266837859,1.27E-07,5.83E-08,1.88E-07,3.78E-05,0.00013889,0.00013506,0.00018257,8.60E-08,2.81E-08,0.00036837,3.99E-05,APO,0.63021
a0022753,2022753, 22753 (1998 WT),22753,,,Y,Y,17.7,,,,205,2459000.5,59000,20200531,J2000,0.569946543,1.218935697,0.524207511,3.204402374,307.4068188,324.7641506,73.5837567,1.913663884,0.732373936,2458900.027,20200220.53,491.5521734,1.345796505,0.0336101,13.08004262,8.48E-09,2.41E-09,1.13E-08,3.30E-06,4.61E-05,4.59E-05,1.17E-05,3.78E-09,2.17E-09,1.57E-05,1.46E-06,APO,0.50274
a0023187,2023187, 23187 (2000 PN9),23187,,,Y,Y,16,,,,JPL 287,2459000.5,59000,20200531,J2000,0.589283023,1.846978303,0.758585346,51.3234608,164.3116373,293.5495946,259.1400162,2.93537126,0.392655227,2459257.367,20210211.87,916.8348592,2.510157041,0.0141495,5.506560915,1.65E-08,1.48E-09,3.08E-08,8.07E-06,7.38E-07,4.01E-06,2.33E-06,2.35E-09,4.72E-10,6.18E-06,1.10E-06,APO,0.35367
a0025143,2025143, 25143 Itokawa (1998 SF36),25143,Itokawa,,Y,Y,19.2,0.33,,,195,2459000.5,59000,20200531,J2000,0.280116646,1.324118018,0.95321052,1.621303463,69.08038938,162.8147711,187.632749,1.695025516,0.646865562,2459266.965,20210221.47,556.5298586,1.523695711,0.0129677,5.046639809,1.28E-09,2.01E-09,3.09E-09,1.95E-07,4.95E-06,4.99E-06,9.10E-06,2.57E-09,1.47E-09,1.47E-05,1.27E-06,APO,0.4614
a0026663,2026663, 26663 (2000 XK47),26663,,,Y,Y,18.1,,,,56,2459000.5,59000,20200531,J2000,0.47162181,1.54587737,0.816807887,13.53701031,303.6748612,231.1143531,8.452739568,2.274946853,0.512792323,2458984.016,20200514.52,702.0385918,1.922076911,0.035064,13.64585688,6.54E-08,7.49E-09,9.85E-08,4.58E-06,1.08E-05,1.86E-05,2.51E-05,1.10E-08,3.73E-09,4.89E-05,5.11E-06,APO,0.49123
a0027002,2027002, 27002 (1998 DV9),27002,,,Y,Y,18.1,,,,76,2459000.5,59000,20200531,J2000,0.433896962,1.743485415,0.986992389,8.701950393,130.3677395,0.787879339,238.8370415,2.49997844,0.428130922,2459283.504,20210310,840.8642816,2.302160935,0.00188777,0.734663451,3.69E-08,6.81E-09,6.40E-08,5.87E-06,3.69E-05,3.59E-05,1.70E-05,9.77E-09,2.51E-09,4.14E-05,4.93E-06,APO,0.5875
a0029075,2029075, 29075 (1950 DA),29075,,,Y,Y,17.1,2,0.07,0.2,166,2459000.5,59000,20200531,J2000,0.507826546,1.698568963,0.835990553,12.1674955,356.6622268,224.6832916,230.8829305,2.561147373,0.445224749,2459290.504,20210317,808.5803878,2.213772451,0.0401055,15.60785744,2.68E-08,1.16E-09,4.59E-08,4.48E-06,7.34E-06,8.54E-06,2.58E-06,1.75E-09,4.56E-10,6.06E-06,8.28E-07,APO,0.49936
a0031669,2031669, 31669 (1999 JT6),31669,,,Y,Y,15.9,,,,74,2459000.5,59000,20200531,J2000,0.578326562,2.135602591,0.900526887,9.54341917,78.81978627,39.10126982,312.2874337,3.370678294,0.315808209,2459151.581,20201029.08,1139.932368,3.12096473,0.00181638,0.706880605,4.61E-08,2.01E-08,1.02E-07,5.43E-06,4.51E-05,4.61E-05,3.23E-05,3.17E-08,4.46E-09,0.00010453,1.61E-05,APO,0.58014
